99.0066	62
99.0095	233
101.0246	69
112.9867	46
113.0236	307
113.0266	177
114.0263	46
115.0403	50
131.0334	355
132.0364	67
139.0029	211
143.0351	247
149.0423	65
205.0725	273
247.0813	238
247.0865	132
289.0862	91
407.3275	46
457.3545	51
457.3674	384
458.3711	84
530.7712	47
571.4085	74
572.3911	54
597.3824	69
615.3831	122
616.3945	147
697.2309	38
704.4308	40
710.1784	44
747.436	71
748.4433	40
812.5197	62
893.5	91
894.4772	89
895.4935	43
911.4902	112
911.5088	194
912.5127	106
953.509	14488
953.6612	45
953.9387	48
954.1066	42
954.3582	49
954.5106	7927
955.5155	1685
956.5151	601
