99.0093	287
101.0237	348
103.0405	39
111.008	43
112.9843	40
113.0238	389
119.0321	98
131.0329	171
139.0029	161
143.0355	142
143.0411	58
157.0115	74
161.0465	55
163.0602	268
205.073	201
221.0643	57
239.0572	39
247.0706	53
247.0861	101
391.3053	50
392.2948	47
407.335	319
408.3482	71
435.3172	54
453.326	58
455.3537	277
456.3635	156
465.1281	47
520.4464	52
532.7873	49
547.7328	47
613.3712	284
614.3824	55
615.3818	42
731.4391	58
877.4881	45
921.4814	176
921.5069	146
922.4817	64
923.4974	61
939.4413	180
939.4936	15214
940.3986	77
940.4974	7266
941.5006	2165
942.5075	456
943.5201	63
1201.2459	44
1278.415	42
