peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
98,,691.4053,0,10 candidates,,Leptinidine,691.4053,413.32626163,[M]-,NA,314.10016779,36.02112942,4.48847596418609,1,1,1,0,0,0,0,0,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Solasodine,691.4053,413.32626163,[M]-,NA,314.10016779,36.02112942,4.48847596418609,1,1,1,0,0,0,0,0,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Tomatidenol,691.4053,413.32626163,[M]-,NA,314.10016779,36.02112942,4.48847596418609,1,1,1,0,0,0,0,0,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,"Furostan-3,22,26-triol",692.412576,433.33134712,[M-H]-,NA,294.0950823,36.02112942,1.39639094265716,1,1,0,1,0,0,0,0,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Soyasapogenol A,692.412576,473.36264714,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(C1O)O)O,254.06378228,36.02112942,1.42583862068429,1,1,0,0,0,0,0,1,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Soyasapogenol A,692.412576,473.36264714,[M-H]-,NA,254.06378228,36.02112942,1.39636205836618,1,1,0,0,0,0,0,1,1,0,0,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Diosgenin,692.412576,413.30513221,[M-H]-,NA,314.12129721,36.02112942,1.40348207093267,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Yamogenin,692.412576,413.30513221,[M-H]-,NA,314.12129721,36.02112942,1.40348207093267,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Spirost-25(27)-en-3-ol,692.412576,413.30513221,[M-H]-,NA,314.12129721,36.02112942,1.40348207093267,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,
98,,691.4053,0,10 candidates,,Spirost-5-en-3-ol,692.412576,413.30513221,[M-H]-,NA,314.12129721,36.02112942,1.40348207093267,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,
